symptoms,prescription
"shortness of breath, productive cough, runny nose","azithromycin 500mg od, doxycycline 100mg bid, levocetirizine 5mg od, stool test"
"joint pain, loss of appetite","doxycycline 100mg bid, oral rehydration salts, ibuprofen 400mg bid, x-ray chest, dengue test"
"skin rash, loss of smell, fatigue","azithromycin 500mg od, amoxicillin 500mg tid, throat swab culture"
"abdominal pain, palpitations, diarrhea, headache","ibuprofen 400mg bid, oral rehydration salts, multivitamin daily, stool test"
"loss of smell, diarrhea","loratadine 10mg od, atorvastatin 10mg od, salbutamol inhaler prn, ecg test"
"back pain, ear pain","oral rehydration salts, pantoprazole 40mg od, ondansetron 4mg tid, throat swab culture"
"muscle pain, runny nose","ondansetron 4mg tid, paracetamol 500mg tid, dengue test"
"eye redness, palpitations, back pain, difficulty breathing","iron supplements od, amoxicillin 500mg tid, dengue test"
"muscle pain, fatigue, runny nose","atorvastatin 10mg od, azithromycin 500mg od, cbc blood test, ecg test"
"dizziness, back pain","paracetamol 500mg tid, iron supplements od, cbc blood test, urine analysis"
"burning urination, body ache, frequent urination, runny nose","metronidazole 400mg tid, multivitamin daily, ecg test, cbc blood test"
"loss of appetite, skin rash, palpitations, shortness of breath","ibuprofen 400mg bid, doxycycline 100mg bid, cetirizine 10mg od, x-ray chest"
"fever, productive cough, body ache","oral rehydration salts, azithromycin 500mg od, serum electrolytes, stool test"
"ear pain, dizziness, vomiting","salbutamol inhaler prn, iron supplements od, ecg test"
"sore throat, sneezing","amoxicillin 500mg tid, loratadine 10mg od, kidney function test"
"night sweats, ear pain, joint pain","multivitamin daily, ondansetron 4mg tid, pantoprazole 40mg od, blood sugar test"
"shortness of breath, loss of smell","cetirizine 10mg od, levocetirizine 5mg od, hydrocortisone cream bid, dengue test, serum electrolytes"
"frequent urination, vomiting, productive cough","pantoprazole 40mg od, metronidazole 400mg tid, oral rehydration salts, liver function test, stool test"
"palpitations, headache, cough","levocetirizine 5mg od, metronidazole 400mg tid, cbc blood test"
"swelling, abdominal pain","loratadine 10mg od, azithromycin 500mg od, amoxicillin 500mg tid, spirometry"
"fatigue, muscle pain, back pain","oral rehydration salts, iron supplements od, salbutamol inhaler prn, liver function test"
"chest pain, sneezing, joint pain","pantoprazole 40mg od, metronidazole 400mg tid, loratadine 10mg od, ecg test"
"shortness of breath, vomiting","paracetamol 500mg tid, multivitamin daily, blood sugar test"
"ear pain, body ache, eye redness","azithromycin 500mg od, loratadine 10mg od, diclofenac 50mg bid, kidney function test, serum electrolytes"
"burning urination, vomiting, back pain, dizziness","hydrocortisone cream bid, iron supplements od, cetirizine 10mg od, urine analysis"
"sore throat, productive cough, muscle pain, itching","cetirizine 10mg od, diclofenac 50mg bid, paracetamol 500mg tid, ecg test, cbc blood test"
"runny nose, sneezing, loss of appetite, headache","oral rehydration salts, doxycycline 100mg bid, stool test, ecg test"
"shortness of breath, difficulty breathing, loss of smell","pantoprazole 40mg od, iron supplements od, amoxicillin 500mg tid, blood sugar test"
"swelling, headache, muscle pain","ibuprofen 400mg bid, iron supplements od, atorvastatin 10mg od, serum electrolytes, x-ray chest"
"cough, weight loss","doxycycline 100mg bid, amoxicillin 500mg tid, spirometry"
"vomiting, burning urination, loss of taste, swelling","hydrocortisone cream bid, oral rehydration salts, metronidazole 400mg tid, kidney function test, malaria parasite test"
"sore throat, weight loss, joint pain","cetirizine 10mg od, doxycycline 100mg bid, urine analysis"
"joint pain, loss of appetite","multivitamin daily, iron supplements od, doxycycline 100mg bid, blood sugar test"
"night sweats, abdominal pain, sore throat","paracetamol 500mg tid, salbutamol inhaler prn, liver function test, x-ray chest"
"loss of smell, shortness of breath, loss of appetite, sore throat","atorvastatin 10mg od, ondansetron 4mg tid, throat swab culture"
"itching, sore throat","ibuprofen 400mg bid, loratadine 10mg od, stool test, blood sugar test"
"loss of taste, sore throat","diclofenac 50mg bid, doxycycline 100mg bid, salbutamol inhaler prn, ecg test, liver function test"
"back pain, joint pain, swelling","diclofenac 50mg bid, amoxicillin 500mg tid, blood sugar test, malaria parasite test"
"shortness of breath, palpitations, joint pain, abdominal pain","ibuprofen 400mg bid, levocetirizine 5mg od, salbutamol inhaler prn, ecg test"
"abdominal pain, sore throat, eye redness, weight loss","doxycycline 100mg bid, pantoprazole 40mg od, serum electrolytes"
"skin rash, eye redness, headache, swelling","diclofenac 50mg bid, loratadine 10mg od, oral rehydration salts, serum electrolytes, malaria parasite test"
"skin rash, runny nose, weight loss","cetirizine 10mg od, multivitamin daily, hydrocortisone cream bid, throat swab culture"
"abdominal pain, night sweats","salbutamol inhaler prn, levocetirizine 5mg od, atorvastatin 10mg od, ecg test"
"abdominal pain, palpitations, shortness of breath","doxycycline 100mg bid, loratadine 10mg od, serum electrolytes"
"loss of smell, cough, back pain, body ache","metronidazole 400mg tid, paracetamol 500mg tid, oral rehydration salts, dengue test"
"loss of taste, dizziness","oral rehydration salts, salbutamol inhaler prn, blood sugar test"
"back pain, itching, dizziness, ear pain","iron supplements od, cetirizine 10mg od, blood sugar test"
"swelling, productive cough, fever","ibuprofen 400mg bid, oral rehydration salts, salbutamol inhaler prn, urine analysis, liver function test"
"ear pain, loss of taste","salbutamol inhaler prn, ibuprofen 400mg bid, kidney function test"
"palpitations, sneezing","loratadine 10mg od, amoxicillin 500mg tid, malaria parasite test, spirometry"
"runny nose, muscle pain, loss of appetite, shortness of breath","ibuprofen 400mg bid, loratadine 10mg od, stool test"
"ear pain, fever, diarrhea","azithromycin 500mg od, pantoprazole 40mg od, iron supplements od, blood sugar test, spirometry"
"itching, ear pain, difficulty breathing, headache","levocetirizine 5mg od, hydrocortisone cream bid, ecg test"
"night sweats, fatigue, back pain, palpitations","paracetamol 500mg tid, levocetirizine 5mg od, dengue test"
"chest pain, body ache, loss of smell, sneezing","salbutamol inhaler prn, hydrocortisone cream bid, cetirizine 10mg od, stool test"
"sneezing, weight loss, back pain","oral rehydration salts, cetirizine 10mg od, amoxicillin 500mg tid, throat swab culture, urine analysis"
"dizziness, difficulty breathing, palpitations","doxycycline 100mg bid, multivitamin daily, malaria parasite test"
"frequent urination, chest pain","hydrocortisone cream bid, metronidazole 400mg tid, ibuprofen 400mg bid, x-ray chest"
"palpitations, sneezing","diclofenac 50mg bid, loratadine 10mg od, levocetirizine 5mg od, dengue test, serum electrolytes"
"swelling, loss of smell","azithromycin 500mg od, hydrocortisone cream bid, iron supplements od, blood sugar test, malaria parasite test"
"muscle pain, fatigue","multivitamin daily, azithromycin 500mg od, atorvastatin 10mg od, x-ray chest"
"itching, back pain, shortness of breath, vomiting","paracetamol 500mg tid, multivitamin daily, metronidazole 400mg tid, liver function test"
"muscle pain, runny nose, palpitations, back pain","azithromycin 500mg od, salbutamol inhaler prn, throat swab culture"
"joint pain, ear pain, palpitations, runny nose","pantoprazole 40mg od, ondansetron 4mg tid, x-ray chest, stool test"
"body ache, sneezing, loss of appetite","amoxicillin 500mg tid, loratadine 10mg od, levocetirizine 5mg od, x-ray chest, dengue test"
"palpitations, muscle pain, dizziness","hydrocortisone cream bid, multivitamin daily, oral rehydration salts, liver function test, malaria parasite test"
"muscle pain, sore throat","iron supplements od, metronidazole 400mg tid, x-ray chest"
"fever, runny nose, ear pain, swelling","hydrocortisone cream bid, pantoprazole 40mg od, malaria parasite test, spirometry"
"ear pain, back pain, fatigue, diarrhea","paracetamol 500mg tid, pantoprazole 40mg od, urine analysis"
"loss of taste, chest pain, ear pain, dizziness","paracetamol 500mg tid, multivitamin daily, cbc blood test"
"runny nose, burning urination","ondansetron 4mg tid, metronidazole 400mg tid, blood sugar test, x-ray chest"
"diarrhea, burning urination","atorvastatin 10mg od, azithromycin 500mg od, ecg test, liver function test"
"swelling, productive cough","pantoprazole 40mg od, azithromycin 500mg od, oral rehydration salts, throat swab culture, dengue test"
"sore throat, joint pain","cetirizine 10mg od, doxycycline 100mg bid, azithromycin 500mg od, kidney function test"
"itching, headache, sore throat","multivitamin daily, ibuprofen 400mg bid, azithromycin 500mg od, kidney function test"
"chest pain, loss of smell","levocetirizine 5mg od, paracetamol 500mg tid, atorvastatin 10mg od, kidney function test, x-ray chest"
"vomiting, swelling, skin rash, joint pain","azithromycin 500mg od, cetirizine 10mg od, diclofenac 50mg bid, malaria parasite test"
"dizziness, productive cough","azithromycin 500mg od, multivitamin daily, ondansetron 4mg tid, spirometry"
"loss of smell, body ache","azithromycin 500mg od, paracetamol 500mg tid, ecg test, malaria parasite test"
"vomiting, abdominal pain","ibuprofen 400mg bid, ondansetron 4mg tid, kidney function test, ecg test"
"shortness of breath, weight loss, productive cough, runny nose","salbutamol inhaler prn, paracetamol 500mg tid, serum electrolytes"
"chest pain, dizziness","amoxicillin 500mg tid, iron supplements od, ibuprofen 400mg bid, serum electrolytes, blood sugar test"
"headache, burning urination","salbutamol inhaler prn, paracetamol 500mg tid, throat swab culture, dengue test"
"sore throat, fever, loss of smell, cough","ondansetron 4mg tid, pantoprazole 40mg od, levocetirizine 5mg od, liver function test, stool test"
"back pain, burning urination, loss of taste","paracetamol 500mg tid, cetirizine 10mg od, pantoprazole 40mg od, liver function test, malaria parasite test"
"vomiting, runny nose","azithromycin 500mg od, paracetamol 500mg tid, hydrocortisone cream bid, serum electrolytes"
"muscle pain, night sweats, sore throat, abdominal pain","multivitamin daily, pantoprazole 40mg od, metronidazole 400mg tid, spirometry, cbc blood test"
"difficulty breathing, loss of taste, cough","paracetamol 500mg tid, ondansetron 4mg tid, blood sugar test"
"loss of smell, chest pain, dizziness, runny nose","ondansetron 4mg tid, hydrocortisone cream bid, ibuprofen 400mg bid, malaria parasite test"
"abdominal pain, runny nose, chest pain","loratadine 10mg od, oral rehydration salts, throat swab culture, liver function test"
"joint pain, cough, headache","doxycycline 100mg bid, cetirizine 10mg od, ecg test"
"diarrhea, body ache, palpitations","ondansetron 4mg tid, atorvastatin 10mg od, blood sugar test"
"weight loss, loss of smell, abdominal pain","diclofenac 50mg bid, iron supplements od, ibuprofen 400mg bid, x-ray chest, malaria parasite test"
"productive cough, difficulty breathing, loss of taste","salbutamol inhaler prn, ondansetron 4mg tid, amoxicillin 500mg tid, stool test"
"productive cough, loss of taste, sore throat","paracetamol 500mg tid, levocetirizine 5mg od, cetirizine 10mg od, cbc blood test, throat swab culture"
"body ache, skin rash, dizziness","cetirizine 10mg od, diclofenac 50mg bid, doxycycline 100mg bid, urine analysis, x-ray chest"
"burning urination, muscle pain, skin rash","cetirizine 10mg od, oral rehydration salts, liver function test"
"loss of appetite, skin rash, dizziness, night sweats","atorvastatin 10mg od, ibuprofen 400mg bid, iron supplements od, ecg test"
"frequent urination, productive cough, loss of smell","levocetirizine 5mg od, amoxicillin 500mg tid, doxycycline 100mg bid, blood sugar test"
"loss of smell, runny nose, muscle pain","atorvastatin 10mg od, cetirizine 10mg od, spirometry"
"sneezing, dizziness","loratadine 10mg od, iron supplements od, throat swab culture, liver function test"
"night sweats, cough, back pain, sore throat","paracetamol 500mg tid, ibuprofen 400mg bid, doxycycline 100mg bid, malaria parasite test"
"loss of smell, diarrhea","amoxicillin 500mg tid, salbutamol inhaler prn, metronidazole 400mg tid, malaria parasite test, blood sugar test"
"abdominal pain, sneezing, palpitations","pantoprazole 40mg od, cetirizine 10mg od, hydrocortisone cream bid, stool test, cbc blood test"
"headache, diarrhea","levocetirizine 5mg od, multivitamin daily, spirometry, malaria parasite test"
"fatigue, fever, loss of appetite, headache","ondansetron 4mg tid, salbutamol inhaler prn, kidney function test, ecg test"
"fatigue, sneezing, loss of appetite, swelling","hydrocortisone cream bid, metronidazole 400mg tid, spirometry"
"sneezing, headache","salbutamol inhaler prn, ondansetron 4mg tid, amoxicillin 500mg tid, throat swab culture, dengue test"
"vomiting, fatigue, headache, diarrhea","azithromycin 500mg od, pantoprazole 40mg od, stool test"
"body ache, eye redness","cetirizine 10mg od, loratadine 10mg od, levocetirizine 5mg od, urine analysis"
"eye redness, loss of smell, joint pain, abdominal pain","salbutamol inhaler prn, loratadine 10mg od, throat swab culture"
"skin rash, burning urination, ear pain, headache","diclofenac 50mg bid, azithromycin 500mg od, ondansetron 4mg tid, stool test"
"loss of smell, joint pain","amoxicillin 500mg tid, oral rehydration salts, loratadine 10mg od, kidney function test"
"loss of smell, night sweats, ear pain, skin rash","ibuprofen 400mg bid, iron supplements od, x-ray chest"
"muscle pain, difficulty breathing, loss of smell, fever","doxycycline 100mg bid, salbutamol inhaler prn, ibuprofen 400mg bid, blood sugar test, spirometry"
"loss of smell, headache, night sweats","doxycycline 100mg bid, salbutamol inhaler prn, paracetamol 500mg tid, throat swab culture, stool test"
"diarrhea, weight loss, palpitations","oral rehydration salts, diclofenac 50mg bid, ecg test"
"joint pain, sneezing, burning urination","oral rehydration salts, metronidazole 400mg tid, stool test, malaria parasite test"
"chest pain, loss of smell, cough","paracetamol 500mg tid, doxycycline 100mg bid, metronidazole 400mg tid, x-ray chest, malaria parasite test"
"palpitations, weight loss, sore throat, skin rash","amoxicillin 500mg tid, ondansetron 4mg tid, multivitamin daily, malaria parasite test, stool test"
"body ache, night sweats","oral rehydration salts, cetirizine 10mg od, amoxicillin 500mg tid, ecg test, spirometry"
"itching, sneezing, fatigue, ear pain","paracetamol 500mg tid, hydrocortisone cream bid, ecg test"
"muscle pain, sneezing, abdominal pain","pantoprazole 40mg od, azithromycin 500mg od, diclofenac 50mg bid, throat swab culture, spirometry"
"burning urination, dizziness","azithromycin 500mg od, metronidazole 400mg tid, urine analysis"
"fatigue, loss of taste","ibuprofen 400mg bid, atorvastatin 10mg od, salbutamol inhaler prn, malaria parasite test"
"abdominal pain, weight loss, palpitations, frequent urination","paracetamol 500mg tid, amoxicillin 500mg tid, diclofenac 50mg bid, dengue test, liver function test"
"ear pain, vomiting","metronidazole 400mg tid, iron supplements od, atorvastatin 10mg od, x-ray chest, spirometry"
"swelling, itching, chest pain","salbutamol inhaler prn, cetirizine 10mg od, oral rehydration salts, stool test"
"burning urination, palpitations, dizziness","levocetirizine 5mg od, doxycycline 100mg bid, pantoprazole 40mg od, dengue test"
"burning urination, fatigue, difficulty breathing","ibuprofen 400mg bid, diclofenac 50mg bid, ecg test, cbc blood test"
"fatigue, chest pain","loratadine 10mg od, hydrocortisone cream bid, malaria parasite test, liver function test"
"vomiting, skin rash","atorvastatin 10mg od, oral rehydration salts, stool test"
"skin rash, vomiting, loss of appetite","diclofenac 50mg bid, iron supplements od, paracetamol 500mg tid, ecg test"
"fatigue, loss of appetite, productive cough","iron supplements od, salbutamol inhaler prn, urine analysis"
"sore throat, vomiting, weight loss, swelling","atorvastatin 10mg od, ondansetron 4mg tid, paracetamol 500mg tid, spirometry"
"difficulty breathing, loss of taste","hydrocortisone cream bid, levocetirizine 5mg od, paracetamol 500mg tid, kidney function test"
"skin rash, vomiting, diarrhea, weight loss","cetirizine 10mg od, amoxicillin 500mg tid, iron supplements od, stool test"
"cough, loss of taste, frequent urination, skin rash","oral rehydration salts, azithromycin 500mg od, amoxicillin 500mg tid, serum electrolytes, spirometry"
"shortness of breath, difficulty breathing","loratadine 10mg od, amoxicillin 500mg tid, atorvastatin 10mg od, spirometry, malaria parasite test"
"headache, sore throat, loss of smell","diclofenac 50mg bid, hydrocortisone cream bid, serum electrolytes"
"joint pain, eye redness","amoxicillin 500mg tid, salbutamol inhaler prn, ondansetron 4mg tid, kidney function test"
"loss of taste, abdominal pain, palpitations","salbutamol inhaler prn, paracetamol 500mg tid, spirometry"
"abdominal pain, loss of taste","atorvastatin 10mg od, salbutamol inhaler prn, urine analysis"
"muscle pain, runny nose","paracetamol 500mg tid, hydrocortisone cream bid, spirometry, x-ray chest"
"body ache, dizziness, loss of taste","amoxicillin 500mg tid, multivitamin daily, pantoprazole 40mg od, serum electrolytes, dengue test"
"loss of smell, skin rash, burning urination","doxycycline 100mg bid, diclofenac 50mg bid, blood sugar test, x-ray chest"
"sore throat, loss of appetite, frequent urination","salbutamol inhaler prn, doxycycline 100mg bid, cetirizine 10mg od, malaria parasite test"
"diarrhea, frequent urination, burning urination","pantoprazole 40mg od, cetirizine 10mg od, blood sugar test"
"chest pain, diarrhea, ear pain, loss of appetite","diclofenac 50mg bid, paracetamol 500mg tid, salbutamol inhaler prn, spirometry"
"frequent urination, shortness of breath, swelling","hydrocortisone cream bid, azithromycin 500mg od, amoxicillin 500mg tid, dengue test, throat swab culture"
"weight loss, loss of smell, swelling, night sweats","loratadine 10mg od, iron supplements od, ecg test, dengue test"
"diarrhea, palpitations","cetirizine 10mg od, ondansetron 4mg tid, stool test, dengue test"
"weight loss, night sweats","cetirizine 10mg od, multivitamin daily, pantoprazole 40mg od, spirometry"
"dizziness, itching, diarrhea, back pain","oral rehydration salts, doxycycline 100mg bid, atorvastatin 10mg od, blood sugar test"
"fatigue, body ache","salbutamol inhaler prn, cetirizine 10mg od, throat swab culture, blood sugar test"
"loss of appetite, body ache, loss of smell","cetirizine 10mg od, metronidazole 400mg tid, iron supplements od, kidney function test"
"abdominal pain, runny nose","paracetamol 500mg tid, hydrocortisone cream bid, ibuprofen 400mg bid, cbc blood test, spirometry"
"joint pain, fatigue, productive cough, cough","loratadine 10mg od, iron supplements od, throat swab culture"
"muscle pain, loss of taste, frequent urination, eye redness","oral rehydration salts, atorvastatin 10mg od, salbutamol inhaler prn, dengue test, serum electrolytes"
"body ache, difficulty breathing","hydrocortisone cream bid, amoxicillin 500mg tid, ecg test"
"swelling, dizziness, frequent urination, fever","paracetamol 500mg tid, doxycycline 100mg bid, ibuprofen 400mg bid, kidney function test, cbc blood test"
"runny nose, loss of smell, chest pain, sore throat","azithromycin 500mg od, salbutamol inhaler prn, serum electrolytes, stool test"
"eye redness, runny nose","atorvastatin 10mg od, ondansetron 4mg tid, x-ray chest"
"night sweats, loss of smell, skin rash, burning urination","atorvastatin 10mg od, pantoprazole 40mg od, oral rehydration salts, x-ray chest, spirometry"
"productive cough, sore throat, cough","atorvastatin 10mg od, oral rehydration salts, throat swab culture, dengue test"
"palpitations, back pain, joint pain, itching","levocetirizine 5mg od, diclofenac 50mg bid, urine analysis"
"cough, skin rash, eye redness, joint pain","loratadine 10mg od, metronidazole 400mg tid, multivitamin daily, malaria parasite test"
"dizziness, diarrhea, sore throat, muscle pain","multivitamin daily, salbutamol inhaler prn, kidney function test, throat swab culture"
"difficulty breathing, fatigue, shortness of breath","metronidazole 400mg tid, levocetirizine 5mg od, liver function test, dengue test"
"skin rash, loss of smell, fatigue, frequent urination","atorvastatin 10mg od, ibuprofen 400mg bid, pantoprazole 40mg od, blood sugar test, kidney function test"
"fever, vomiting, loss of taste, palpitations","loratadine 10mg od, salbutamol inhaler prn, cbc blood test, ecg test"
"fatigue, muscle pain, skin rash","iron supplements od, loratadine 10mg od, malaria parasite test"
"headache, weight loss, dizziness, sore throat","diclofenac 50mg bid, amoxicillin 500mg tid, paracetamol 500mg tid, blood sugar test"
"fever, ear pain, night sweats, loss of appetite","cetirizine 10mg od, iron supplements od, malaria parasite test"
"loss of taste, difficulty breathing, frequent urination, cough","salbutamol inhaler prn, hydrocortisone cream bid, serum electrolytes, ecg test"
"abdominal pain, burning urination, sore throat","atorvastatin 10mg od, amoxicillin 500mg tid, hydrocortisone cream bid, stool test"
"palpitations, burning urination, sore throat","metronidazole 400mg tid, levocetirizine 5mg od, x-ray chest, urine analysis"
"loss of appetite, body ache, vomiting","amoxicillin 500mg tid, doxycycline 100mg bid, cbc blood test, spirometry"
"fever, night sweats, body ache","paracetamol 500mg tid, salbutamol inhaler prn, kidney function test, malaria parasite test"
"chest pain, palpitations, sore throat","levocetirizine 5mg od, ondansetron 4mg tid, ecg test"
"weight loss, loss of appetite","oral rehydration salts, levocetirizine 5mg od, liver function test"
"night sweats, ear pain","salbutamol inhaler prn, oral rehydration salts, kidney function test"
"loss of smell, loss of appetite, back pain","levocetirizine 5mg od, ondansetron 4mg tid, paracetamol 500mg tid, throat swab culture, ecg test"
"dizziness, ear pain, burning urination","ibuprofen 400mg bid, levocetirizine 5mg od, azithromycin 500mg od, dengue test"
"sore throat, burning urination, diarrhea","pantoprazole 40mg od, atorvastatin 10mg od, spirometry, urine analysis"
"productive cough, back pain","azithromycin 500mg od, diclofenac 50mg bid, serum electrolytes"
"body ache, swelling, night sweats, loss of smell","cetirizine 10mg od, metronidazole 400mg tid, azithromycin 500mg od, liver function test, urine analysis"
"cough, loss of smell, vomiting, runny nose","multivitamin daily, loratadine 10mg od, dengue test"
"vomiting, itching, headache","multivitamin daily, ibuprofen 400mg bid, malaria parasite test"
"itching, fever, dizziness","multivitamin daily, ibuprofen 400mg bid, x-ray chest, urine analysis"
"sneezing, sore throat","levocetirizine 5mg od, loratadine 10mg od, kidney function test, spirometry"
"chest pain, palpitations, headache","loratadine 10mg od, amoxicillin 500mg tid, urine analysis"
"ear pain, headache, vomiting","pantoprazole 40mg od, metronidazole 400mg tid, salbutamol inhaler prn, malaria parasite test"
"difficulty breathing, muscle pain, palpitations, sneezing","diclofenac 50mg bid, oral rehydration salts, malaria parasite test"
"sneezing, abdominal pain","metronidazole 400mg tid, loratadine 10mg od, malaria parasite test"
"weight loss, headache, fatigue","levocetirizine 5mg od, atorvastatin 10mg od, multivitamin daily, blood sugar test, kidney function test"
"headache, fatigue","metronidazole 400mg tid, atorvastatin 10mg od, kidney function test, spirometry"
"abdominal pain, vomiting","ondansetron 4mg tid, diclofenac 50mg bid, pantoprazole 40mg od, throat swab culture, liver function test"
"cough, itching, chest pain, back pain","ondansetron 4mg tid, ibuprofen 400mg bid, diclofenac 50mg bid, dengue test, throat swab culture"
"skin rash, headache","salbutamol inhaler prn, multivitamin daily, levocetirizine 5mg od, serum electrolytes"
"cough, vomiting","hydrocortisone cream bid, cetirizine 10mg od, stool test"
"back pain, difficulty breathing, weight loss, chest pain","paracetamol 500mg tid, hydrocortisone cream bid, levocetirizine 5mg od, serum electrolytes"
"skin rash, abdominal pain, back pain","hydrocortisone cream bid, paracetamol 500mg tid, serum electrolytes, stool test"
"weight loss, night sweats, itching","azithromycin 500mg od, levocetirizine 5mg od, doxycycline 100mg bid, blood sugar test"
"burning urination, joint pain, itching","ibuprofen 400mg bid, salbutamol inhaler prn, malaria parasite test"
"productive cough, itching, sneezing, vomiting","doxycycline 100mg bid, pantoprazole 40mg od, stool test, cbc blood test"
"runny nose, night sweats, cough, abdominal pain","multivitamin daily, paracetamol 500mg tid, levocetirizine 5mg od, cbc blood test, ecg test"
"productive cough, loss of appetite, headache, fatigue","metronidazole 400mg tid, ondansetron 4mg tid, amoxicillin 500mg tid, kidney function test, stool test"
"headache, muscle pain, burning urination","salbutamol inhaler prn, ondansetron 4mg tid, iron supplements od, spirometry"
"palpitations, muscle pain","pantoprazole 40mg od, atorvastatin 10mg od, multivitamin daily, liver function test"
"body ache, loss of taste","doxycycline 100mg bid, atorvastatin 10mg od, liver function test"
"vomiting, sneezing","pantoprazole 40mg od, multivitamin daily, serum electrolytes, stool test"
"back pain, loss of smell","cetirizine 10mg od, levocetirizine 5mg od, ecg test"
"loss of smell, fever, loss of appetite, muscle pain","metronidazole 400mg tid, ondansetron 4mg tid, stool test"
"loss of taste, eye redness, itching","ibuprofen 400mg bid, hydrocortisone cream bid, spirometry, blood sugar test"
"diarrhea, abdominal pain, dizziness, frequent urination","azithromycin 500mg od, iron supplements od, serum electrolytes"
"skin rash, ear pain, palpitations, loss of smell","pantoprazole 40mg od, amoxicillin 500mg tid, azithromycin 500mg od, liver function test"
"diarrhea, skin rash","salbutamol inhaler prn, multivitamin daily, stool test, blood sugar test"
"productive cough, muscle pain","metronidazole 400mg tid, iron supplements od, cetirizine 10mg od, malaria parasite test, urine analysis"
"swelling, headache, shortness of breath, chest pain","doxycycline 100mg bid, salbutamol inhaler prn, pantoprazole 40mg od, serum electrolytes, kidney function test"
"difficulty breathing, back pain","ibuprofen 400mg bid, oral rehydration salts, multivitamin daily, throat swab culture, ecg test"
"chest pain, itching, eye redness","ibuprofen 400mg bid, salbutamol inhaler prn, pantoprazole 40mg od, liver function test"
"dizziness, loss of taste","iron supplements od, multivitamin daily, azithromycin 500mg od, kidney function test, dengue test"
"headache, frequent urination, swelling","pantoprazole 40mg od, ibuprofen 400mg bid, salbutamol inhaler prn, serum electrolytes"
"vomiting, frequent urination","atorvastatin 10mg od, multivitamin daily, ecg test"
"weight loss, eye redness","amoxicillin 500mg tid, oral rehydration salts, serum electrolytes, x-ray chest"
"shortness of breath, diarrhea, skin rash","pantoprazole 40mg od, doxycycline 100mg bid, cbc blood test, serum electrolytes"
"frequent urination, diarrhea, productive cough","ibuprofen 400mg bid, paracetamol 500mg tid, metronidazole 400mg tid, dengue test, x-ray chest"
"palpitations, night sweats","metronidazole 400mg tid, doxycycline 100mg bid, x-ray chest, stool test"
"body ache, loss of taste, fatigue","salbutamol inhaler prn, metronidazole 400mg tid, liver function test"
"itching, vomiting, palpitations","atorvastatin 10mg od, doxycycline 100mg bid, multivitamin daily, malaria parasite test"
"burning urination, skin rash, body ache","ibuprofen 400mg bid, cetirizine 10mg od, liver function test"
"dizziness, palpitations, back pain, ear pain","ibuprofen 400mg bid, oral rehydration salts, levocetirizine 5mg od, x-ray chest, ecg test"
"diarrhea, abdominal pain, fever","azithromycin 500mg od, diclofenac 50mg bid, dengue test, stool test"
"loss of smell, loss of taste, palpitations","cetirizine 10mg od, paracetamol 500mg tid, azithromycin 500mg od, x-ray chest, blood sugar test"
"night sweats, burning urination, fever","iron supplements od, levocetirizine 5mg od, ibuprofen 400mg bid, spirometry, kidney function test"
"shortness of breath, muscle pain","diclofenac 50mg bid, doxycycline 100mg bid, throat swab culture, stool test"
"night sweats, swelling, frequent urination","doxycycline 100mg bid, salbutamol inhaler prn, ondansetron 4mg tid, stool test, blood sugar test"
"body ache, diarrhea, loss of smell, fever","salbutamol inhaler prn, multivitamin daily, cbc blood test"
"abdominal pain, headache, chest pain","oral rehydration salts, salbutamol inhaler prn, ibuprofen 400mg bid, blood sugar test, dengue test"
"joint pain, skin rash, cough","cetirizine 10mg od, pantoprazole 40mg od, metronidazole 400mg tid, throat swab culture"
"sore throat, palpitations","metronidazole 400mg tid, salbutamol inhaler prn, serum electrolytes, ecg test"
"body ache, vomiting","hydrocortisone cream bid, metronidazole 400mg tid, serum electrolytes, spirometry"
"muscle pain, swelling, joint pain","paracetamol 500mg tid, ondansetron 4mg tid, amoxicillin 500mg tid, malaria parasite test, cbc blood test"
"loss of smell, body ache, vomiting, abdominal pain","salbutamol inhaler prn, azithromycin 500mg od, cbc blood test, ecg test"
"ear pain, fatigue, dizziness","salbutamol inhaler prn, multivitamin daily, throat swab culture, malaria parasite test"
"muscle pain, runny nose, eye redness","ondansetron 4mg tid, cetirizine 10mg od, malaria parasite test"
"sore throat, burning urination, cough","salbutamol inhaler prn, paracetamol 500mg tid, hydrocortisone cream bid, stool test, serum electrolytes"
"shortness of breath, swelling","iron supplements od, hydrocortisone cream bid, throat swab culture"
"weight loss, headache","diclofenac 50mg bid, metronidazole 400mg tid, azithromycin 500mg od, blood sugar test, spirometry"
"skin rash, headache, fever, difficulty breathing","cetirizine 10mg od, amoxicillin 500mg tid, loratadine 10mg od, dengue test"
"sore throat, burning urination, shortness of breath","diclofenac 50mg bid, iron supplements od, kidney function test"
"sore throat, sneezing, frequent urination","hydrocortisone cream bid, loratadine 10mg od, cetirizine 10mg od, cbc blood test, blood sugar test"
"dizziness, fever, loss of appetite, diarrhea","levocetirizine 5mg od, cetirizine 10mg od, amoxicillin 500mg tid, spirometry, stool test"
"ear pain, sore throat","levocetirizine 5mg od, diclofenac 50mg bid, kidney function test, malaria parasite test"
"shortness of breath, loss of smell, fatigue","amoxicillin 500mg tid, atorvastatin 10mg od, stool test"
